ins_name,alg_name,repeat,status,runtime
data/TSP/cl/4.tsp,MAOS,1,SUCCESS,42.18
data/TSP/cl/4.tsp,MAOS,2,SUCCESS,75.57
data/TSP/cl/4.tsp,MAOS,3,SUCCESS,40.61
data/TSP/cl/4.tsp,MAOS,4,SUCCESS,40.15
data/TSP/cl/5.tsp,LKH,0,SUCCESS,0.98
data/TSP/cl/5.tsp,LKH,1,SUCCESS,1.12
data/TSP/cl/5.tsp,LKH,2,SUCCESS,0.89
data/TSP/cl/5.tsp,LKH,3,SUCCESS,0.84
data/TSP/cl/5.tsp,LKH,4,SUCCESS,1.12
data/TSP/cl/5.tsp,LKH-restart,0,SUCCESS,1.34
data/TSP/cl/5.tsp,LKH-restart,1,SUCCESS,1.18
data/TSP/cl/5.tsp,LKH-restart,2,SUCCESS,0.96
data/TSP/cl/5.tsp,LKH-restart,3,SUCCESS,0.91
data/TSP/cl/5.tsp,LKH-restart,4,SUCCESS,1.19
data/TSP/cl/5.tsp,LKH-crossover,0,SUCCESS,0.99
data/TSP/cl/5.tsp,LKH-crossover,1,SUCCESS,1.12
data/TSP/cl/5.tsp,LKH-crossover,2,SUCCESS,0.76
data/TSP/cl/5.tsp,LKH-crossover,3,SUCCESS,0.83
data/TSP/cl/5.tsp,LKH-crossover,4,SUCCESS,1.10
data/TSP/cl/5.tsp,GA-EAX,0,SUCCESS,2.65
data/TSP/cl/5.tsp,GA-EAX,1,SUCCESS,2.65
data/TSP/cl/5.tsp,GA-EAX,2,SUCCESS,2.35
data/TSP/cl/5.tsp,GA-EAX,3,SUCCESS,2.71
data/TSP/cl/5.tsp,GA-EAX,4,SUCCESS,2.53
data/TSP/cl/5.tsp,GA-EAX-restart,0,SUCCESS,2.79
data/TSP/cl/5.tsp,GA-EAX-restart,1,SUCCESS,2.43
data/TSP/cl/5.tsp,GA-EAX-restart,2,SUCCESS,2.58
data/TSP/cl/5.tsp,GA-EAX-restart,3,SUCCESS,2.34
data/TSP/cl/5.tsp,GA-EAX-restart,4,SUCCESS,2.62
data/TSP/cl/5.tsp,MAOS,0,SUCCESS,5.29
data/TSP/cl/5.tsp,MAOS,1,SUCCESS,4.34
data/TSP/cl/5.tsp,MAOS,2,SUCCESS,5.63
data/TSP/cl/5.tsp,MAOS,3,SUCCESS,5.59
data/TSP/cl/5.tsp,MAOS,4,SUCCESS,5.98
data/TSP/cl/6.tsp,LKH,0,SUCCESS,91.50
data/TSP/cl/6.tsp,LKH,1,SUCCESS,120.00
data/TSP/cl/6.tsp,LKH,2,SUCCESS,332.00
data/TSP/cl/6.tsp,LKH,3,SUCCESS,89.74
data/TSP/cl/6.tsp,LKH,4,SUCCESS,135.62
data/TSP/cl/6.tsp,LKH-restart,0,SUCCESS,223.85
data/TSP/cl/6.tsp,LKH-restart,1,SUCCESS,166.24
data/TSP/cl/6.tsp,LKH-restart,2,SUCCESS,333.35
data/TSP/cl/6.tsp,LKH-restart,3,SUCCESS,57.38
data/TSP/cl/6.tsp,LKH-restart,4,SUCCESS,108.53
data/TSP/cl/6.tsp,LKH-crossover,0,SUCCESS,147.13
data/TSP/cl/6.tsp,LKH-crossover,1,SUCCESS,169.21
data/TSP/cl/6.tsp,LKH-crossover,2,SUCCESS,379.19
data/TSP/cl/6.tsp,LKH-crossover,3,SUCCESS,89.86
data/TSP/cl/6.tsp,LKH-crossover,4,SUCCESS,87.84
data/TSP/cl/6.tsp,GA-EAX,0,SUCCESS,16.35
data/TSP/cl/6.tsp,GA-EAX,1,SUCCESS,15.61
data/TSP/cl/6.tsp,GA-EAX,2,SUCCESS,15.59
data/TSP/cl/6.tsp,GA-EAX,3,SUCCESS,15.84
data/TSP/cl/6.tsp,GA-EAX,4,SUCCESS,16.41
data/TSP/cl/6.tsp,GA-EAX-restart,0,SUCCESS,17.16
data/TSP/cl/6.tsp,GA-EAX-restart,1,SUCCESS,15.80
data/TSP/cl/6.tsp,GA-EAX-restart,2,SUCCESS,16.14
data/TSP/cl/6.tsp,GA-EAX-restart,3,SUCCESS,16.81
data/TSP/cl/6.tsp,GA-EAX-restart,4,SUCCESS,15.71
data/TSP/cl/6.tsp,MAOS,0,SUCCESS,26.61
data/TSP/cl/6.tsp,MAOS,1,SUCCESS,27.05
data/TSP/cl/6.tsp,MAOS,2,SUCCESS,27.87
data/TSP/cl/6.tsp,MAOS,3,SUCCESS,25.76
data/TSP/cl/6.tsp,MAOS,4,SUCCESS,24.88
data/TSP/cl/7.tsp,LKH,0,SUCCESS,44.78
data/TSP/cl/7.tsp,LKH,1,SUCCESS,154.25
data/TSP/cl/7.tsp,LKH,2,SUCCESS,206.72
data/TSP/cl/7.tsp,LKH,3,SUCCESS,552.11
data/TSP/cl/7.tsp,LKH,4,SUCCESS,211.50
data/TSP/cl/7.tsp,LKH-restart,0,SUCCESS,6.14
data/TSP/cl/7.tsp,LKH-restart,1,SUCCESS,153.24
data/TSP/cl/7.tsp,LKH-restart,2,SUCCESS,205.80
data/TSP/cl/7.tsp,LKH-restart,3,SUCCESS,564.68
data/TSP/cl/7.tsp,LKH-restart,4,SUCCESS,207.18
data/TSP/cl/7.tsp,LKH-crossover,0,SUCCESS,18.91
data/TSP/cl/7.tsp,LKH-crossover,1,SUCCESS,154.32
data/TSP/cl/7.tsp,LKH-crossover,2,SUCCESS,206.42
data/TSP/cl/7.tsp,LKH-crossover,3,SUCCESS,508.51
data/TSP/cl/7.tsp,LKH-crossover,4,SUCCESS,210.52
data/TSP/cl/7.tsp,GA-EAX,0,SUCCESS,3.23
data/TSP/cl/7.tsp,GA-EAX,1,SUCCESS,3.26
data/TSP/cl/7.tsp,GA-EAX,2,SUCCESS,2.89
data/TSP/cl/7.tsp,GA-EAX,3,SUCCESS,3.10
data/TSP/cl/7.tsp,GA-EAX,4,SUCCESS,3.26
data/TSP/cl/7.tsp,GA-EAX-restart,0,SUCCESS,3.24
data/TSP/cl/7.tsp,GA-EAX-restart,1,SUCCESS,3.29
data/TSP/cl/7.tsp,GA-EAX-restart,2,SUCCESS,2.93
data/TSP/cl/7.tsp,GA-EAX-restart,3,SUCCESS,3.28
data/TSP/cl/7.tsp,GA-EAX-restart,4,SUCCESS,3.19
data/TSP/cl/7.tsp,MAOS,0,SUCCESS,9.25
data/TSP/cl/7.tsp,MAOS,1,SUCCESS,7.11
data/TSP/cl/7.tsp,MAOS,2,SUCCESS,6.68
data/TSP/cl/7.tsp,MAOS,3,SUCCESS,6.85
data/TSP/cl/7.tsp,MAOS,4,SUCCESS,7.45
data/TSP/cl/8.tsp,LKH,0,SUCCESS,343.67
data/TSP/cl/8.tsp,LKH,1,SUCCESS,161.79
data/TSP/cl/8.tsp,LKH,2,SUCCESS,513.71
data/TSP/cl/8.tsp,LKH,3,SUCCESS,165.54
data/TSP/cl/8.tsp,LKH,4,SUCCESS,48.13
data/TSP/cl/8.tsp,LKH-restart,0,SUCCESS,475.43
data/TSP/cl/8.tsp,LKH-restart,1,SUCCESS,161.25
data/TSP/cl/8.tsp,LKH-restart,2,SUCCESS,510.87
data/TSP/cl/8.tsp,LKH-restart,3,SUCCESS,163.36
data/TSP/cl/8.tsp,LKH-restart,4,SUCCESS,47.51
data/TSP/cl/8.tsp,LKH-crossover,0,TIMEOUT,900.00
data/TSP/cl/8.tsp,LKH-crossover,1,SUCCESS,160.91
data/TSP/cl/8.tsp,LKH-crossover,2,SUCCESS,396.02
data/TSP/cl/8.tsp,LKH-crossover,3,SUCCESS,164.91
data/TSP/cl/8.tsp,LKH-crossover,4,SUCCESS,48.32
data/TSP/cl/8.tsp,GA-EAX,0,SUCCESS,3.03
data/TSP/cl/8.tsp,GA-EAX,1,TIMEOUT,900.00
data/TSP/cl/8.tsp,GA-EAX,2,SUCCESS,3.96
data/TSP/cl/8.tsp,GA-EAX,3,TIMEOUT,900.00
data/TSP/cl/8.tsp,GA-EAX,4,TIMEOUT,900.00
data/TSP/cl/8.tsp,GA-EAX-restart,0,SUCCESS,3.94
data/TSP/cl/8.tsp,GA-EAX-restart,1,SUCCESS,10.52
data/TSP/cl/8.tsp,GA-EAX-restart,2,SUCCESS,4.06
data/TSP/cl/8.tsp,GA-EAX-restart,3,SUCCESS,9.50
data/TSP/cl/8.tsp,GA-EAX-restart,4,SUCCESS,9.78
data/TSP/cl/8.tsp,MAOS,0,SUCCESS,15.25
data/TSP/cl/8.tsp,MAOS,1,SUCCESS,7.18
data/TSP/cl/8.tsp,MAOS,2,SUCCESS,6.48
data/TSP/cl/8.tsp,MAOS,3,SUCCESS,7.31
data/TSP/cl/8.tsp,MAOS,4,SUCCESS,7.68
data/TSP/cl/9.tsp,LKH,0,SUCCESS,73.46
data/TSP/cl/9.tsp,LKH,1,SUCCESS,9.53
data/TSP/cl/9.tsp,LKH,2,SUCCESS,66.89
data/TSP/cl/9.tsp,LKH,3,SUCCESS,90.54
data/TSP/cl/9.tsp,LKH,4,SUCCESS,29.80
data/TSP/cl/9.tsp,LKH-restart,0,SUCCESS,105.08
data/TSP/cl/9.tsp,LKH-restart,1,SUCCESS,14.10
data/TSP/cl/9.tsp,LKH-restart,2,SUCCESS,66.54
data/TSP/cl/9.tsp,LKH-restart,3,SUCCESS,60.93
data/TSP/cl/9.tsp,LKH-restart,4,SUCCESS,29.35
data/TSP/cl/9.tsp,LKH-crossover,0,SUCCESS,20.49
data/TSP/cl/9.tsp,LKH-crossover,1,SUCCESS,14.09
data/TSP/cl/9.tsp,LKH-crossover,2,SUCCESS,43.68
data/TSP/cl/9.tsp,LKH-crossover,3,SUCCESS,90.96
data/TSP/cl/9.tsp,LKH-crossover,4,SUCCESS,29.85
data/TSP/cl/9.tsp,GA-EAX,0,SUCCESS,11.24
data/TSP/cl/9.tsp,GA-EAX,1,SUCCESS,12.23
data/TSP/cl/9.tsp,GA-EAX,2,SUCCESS,12.27
data/TSP/cl/9.tsp,GA-EAX,3,SUCCESS,11.66
data/TSP/cl/9.tsp,GA-EAX,4,SUCCESS,11.16
data/TSP/cl/9.tsp,GA-EAX-restart,0,SUCCESS,11.21
data/TSP/cl/9.tsp,GA-EAX-restart,1,SUCCESS,12.05
data/TSP/cl/9.tsp,GA-EAX-restart,2,SUCCESS,9.45
data/TSP/cl/9.tsp,GA-EAX-restart,3,SUCCESS,12.08
data/TSP/cl/9.tsp,GA-EAX-restart,4,SUCCESS,11.71
data/TSP/cl/9.tsp,MAOS,0,SUCCESS,48.91
data/TSP/cl/9.tsp,MAOS,1,SUCCESS,44.17
data/TSP/cl/9.tsp,MAOS,2,SUCCESS,25.39
data/TSP/cl/9.tsp,MAOS,3,SUCCESS,21.02
data/TSP/cl/9.tsp,MAOS,4,SUCCESS,21.84
data/TSP/cl/10.tsp,LKH,0,SUCCESS,5.39
data/TSP/cl/10.tsp,LKH,1,SUCCESS,8.72
data/TSP/cl/10.tsp,LKH,2,SUCCESS,2.22
data/TSP/cl/10.tsp,LKH,3,SUCCESS,1.58
data/TSP/cl/10.tsp,LKH,4,SUCCESS,6.89
data/TSP/cl/10.tsp,LKH-restart,0,SUCCESS,3.04
data/TSP/cl/10.tsp,LKH-restart,1,SUCCESS,8.76
data/TSP/cl/10.tsp,LKH-restart,2,SUCCESS,2.28
data/TSP/cl/10.tsp,LKH-restart,3,SUCCESS,1.65
data/TSP/cl/10.tsp,LKH-restart,4,SUCCESS,6.94
data/TSP/cl/10.tsp,LKH-crossover,0,SUCCESS,2.31
data/TSP/cl/10.tsp,LKH-crossover,1,SUCCESS,8.72
data/TSP/cl/10.tsp,LKH-crossover,2,SUCCESS,2.23
data/TSP/cl/10.tsp,LKH-crossover,3,SUCCESS,1.60
data/TSP/cl/10.tsp,LKH-crossover,4,SUCCESS,6.96
data/TSP/cl/10.tsp,GA-EAX,0,SUCCESS,2.84
data/TSP/cl/10.tsp,GA-EAX,1,SUCCESS,2.68
data/TSP/cl/10.tsp,GA-EAX,2,SUCCESS,2.34
data/TSP/cl/10.tsp,GA-EAX,3,SUCCESS,2.58
data/TSP/cl/10.tsp,GA-EAX,4,SUCCESS,2.79
data/TSP/cl/10.tsp,GA-EAX-restart,0,SUCCESS,2.92
data/TSP/cl/10.tsp,GA-EAX-restart,1,SUCCESS,2.66
data/TSP/cl/10.tsp,GA-EAX-restart,2,SUCCESS,2.33
data/TSP/cl/10.tsp,GA-EAX-restart,3,SUCCESS,2.59
data/TSP/cl/10.tsp,GA-EAX-restart,4,SUCCESS,2.80
data/TSP/cl/10.tsp,MAOS,0,SUCCESS,4.61
data/TSP/cl/10.tsp,MAOS,1,SUCCESS,5.79
data/TSP/cl/10.tsp,MAOS,2,SUCCESS,5.84
data/TSP/cl/10.tsp,MAOS,3,SUCCESS,5.84
data/TSP/cl/10.tsp,MAOS,4,SUCCESS,6.30
data/TSP/cl/11.tsp,LKH,0,SUCCESS,71.40
data/TSP/cl/11.tsp,LKH,1,SUCCESS,60.70
data/TSP/cl/11.tsp,LKH,2,SUCCESS,116.07
data/TSP/cl/11.tsp,LKH,3,SUCCESS,73.22
data/TSP/cl/11.tsp,LKH,4,SUCCESS,65.30
data/TSP/cl/11.tsp,LKH-restart,0,SUCCESS,102.02
data/TSP/cl/11.tsp,LKH-restart,1,SUCCESS,60.52
data/TSP/cl/11.tsp,LKH-restart,2,SUCCESS,115.11
data/TSP/cl/11.tsp,LKH-restart,3,SUCCESS,72.35
data/TSP/cl/11.tsp,LKH-restart,4,SUCCESS,64.25
data/TSP/cl/11.tsp,LKH-crossover,0,SUCCESS,85.47
data/TSP/cl/11.tsp,LKH-crossover,1,SUCCESS,60.78
data/TSP/cl/11.tsp,LKH-crossover,2,SUCCESS,115.00
data/TSP/cl/11.tsp,LKH-crossover,3,SUCCESS,72.43
data/TSP/cl/11.tsp,LKH-crossover,4,SUCCESS,64.17
data/TSP/cl/11.tsp,GA-EAX,0,SUCCESS,19.09
data/TSP/cl/11.tsp,GA-EAX,1,TIMEOUT,900.00
data/TSP/cl/11.tsp,GA-EAX,2,TIMEOUT,900.00
data/TSP/cl/11.tsp,GA-EAX,3,SUCCESS,19.51
data/TSP/cl/11.tsp,GA-EAX,4,TIMEOUT,900.00
data/TSP/cl/11.tsp,GA-EAX-restart,0,SUCCESS,19.65
data/TSP/cl/11.tsp,GA-EAX-restart,1,SUCCESS,40.82
data/TSP/cl/11.tsp,GA-EAX-restart,2,SUCCESS,41.89
data/TSP/cl/11.tsp,GA-EAX-restart,3,SUCCESS,19.39
data/TSP/cl/11.tsp,GA-EAX-restart,4,SUCCESS,40.66
data/TSP/cl/11.tsp,MAOS,0,SUCCESS,116.91
data/TSP/cl/11.tsp,MAOS,1,SUCCESS,32.91
data/TSP/cl/11.tsp,MAOS,2,SUCCESS,43.03
data/TSP/cl/11.tsp,MAOS,3,SUCCESS,69.33
data/TSP/cl/11.tsp,MAOS,4,SUCCESS,31.37
data/TSP/cl/12.tsp,LKH,0,SUCCESS,11.55
data/TSP/cl/12.tsp,LKH,1,SUCCESS,17.97
data/TSP/cl/12.tsp,LKH,2,SUCCESS,8.24
data/TSP/cl/12.tsp,LKH,3,SUCCESS,7.31
data/TSP/cl/12.tsp,LKH,4,SUCCESS,13.20
data/TSP/cl/12.tsp,LKH-restart,0,SUCCESS,6.17
data/TSP/cl/12.tsp,LKH-restart,1,SUCCESS,17.57
data/TSP/cl/12.tsp,LKH-restart,2,SUCCESS,8.35
data/TSP/cl/12.tsp,LKH-restart,3,SUCCESS,7.40
data/TSP/cl/12.tsp,LKH-restart,4,SUCCESS,13.14
data/TSP/cl/12.tsp,LKH-crossover,0,SUCCESS,7.67
data/TSP/cl/12.tsp,LKH-crossover,1,SUCCESS,14.36
data/TSP/cl/12.tsp,LKH-crossover,2,SUCCESS,8.44
data/TSP/cl/12.tsp,LKH-crossover,3,SUCCESS,7.36
data/TSP/cl/12.tsp,LKH-crossover,4,SUCCESS,13.21
data/TSP/cl/12.tsp,GA-EAX,0,SUCCESS,11.82
data/TSP/cl/12.tsp,GA-EAX,1,SUCCESS,12.63
data/TSP/cl/12.tsp,GA-EAX,2,SUCCESS,13.31
data/TSP/cl/12.tsp,GA-EAX,3,SUCCESS,13.12
data/TSP/cl/12.tsp,GA-EAX,4,SUCCESS,12.59
data/TSP/cl/12.tsp,GA-EAX-restart,0,SUCCESS,12.07
data/TSP/cl/12.tsp,GA-EAX-restart,1,SUCCESS,12.46
data/TSP/cl/12.tsp,GA-EAX-restart,2,SUCCESS,13.66
data/TSP/cl/12.tsp,GA-EAX-restart,3,SUCCESS,12.78
data/TSP/cl/12.tsp,GA-EAX-restart,4,SUCCESS,12.27
data/TSP/cl/12.tsp,MAOS,0,SUCCESS,22.99
data/TSP/cl/12.tsp,MAOS,1,SUCCESS,23.97
data/TSP/cl/12.tsp,MAOS,2,SUCCESS,23.44
data/TSP/cl/12.tsp,MAOS,3,SUCCESS,22.99
data/TSP/cl/12.tsp,MAOS,4,SUCCESS,17.51
data/TSP/cl/13.tsp,LKH,0,SUCCESS,19.10
data/TSP/cl/13.tsp,LKH,1,SUCCESS,145.11
data/TSP/cl/13.tsp,LKH,2,TIMEOUT,900.00
data/TSP/cl/13.tsp,LKH,3,SUCCESS,391.47
data/TSP/cl/13.tsp,LKH,4,TIMEOUT,900.00
data/TSP/cl/13.tsp,LKH-restart,0,SUCCESS,19.08
data/TSP/cl/13.tsp,LKH-restart,1,SUCCESS,143.44
data/TSP/cl/13.tsp,LKH-restart,2,TIMEOUT,900.00
data/TSP/cl/13.tsp,LKH-restart,3,SUCCESS,373.54
data/TSP/cl/13.tsp,LKH-restart,4,TIMEOUT,900.00
data/TSP/cl/13.tsp,LKH-crossover,0,SUCCESS,50.06
data/TSP/cl/13.tsp,LKH-crossover,1,SUCCESS,144.98
data/TSP/cl/13.tsp,LKH-crossover,2,SUCCESS,877.56
data/TSP/cl/13.tsp,LKH-crossover,3,SUCCESS,391.74
data/TSP/cl/13.tsp,LKH-crossover,4,TIMEOUT,900.00
data/TSP/cl/13.tsp,GA-EAX,0,SUCCESS,3.10
data/TSP/cl/13.tsp,GA-EAX,1,SUCCESS,3.24
data/TSP/cl/13.tsp,GA-EAX,2,SUCCESS,2.90
data/TSP/cl/13.tsp,GA-EAX,3,SUCCESS,2.76
data/TSP/cl/13.tsp,GA-EAX,4,SUCCESS,3.48
data/TSP/cl/13.tsp,GA-EAX-restart,0,SUCCESS,3.03
data/TSP/cl/13.tsp,GA-EAX-restart,1,SUCCESS,3.32
data/TSP/cl/13.tsp,GA-EAX-restart,2,SUCCESS,3.01
data/TSP/cl/13.tsp,GA-EAX-restart,3,SUCCESS,2.16
data/TSP/cl/13.tsp,GA-EAX-restart,4,SUCCESS,3.36
data/TSP/cl/13.tsp,MAOS,0,SUCCESS,6.61
data/TSP/cl/13.tsp,MAOS,1,SUCCESS,6.33
data/TSP/cl/13.tsp,MAOS,2,SUCCESS,6.48
data/TSP/cl/13.tsp,MAOS,3,SUCCESS,6.39
data/TSP/cl/13.tsp,MAOS,4,SUCCESS,4.94
data/TSP/cl/14.tsp,LKH,0,SUCCESS,79.37
data/TSP/cl/14.tsp,LKH,1,SUCCESS,76.57
data/TSP/cl/14.tsp,LKH,2,SUCCESS,24.35
data/TSP/cl/14.tsp,LKH,3,SUCCESS,20.49
data/TSP/cl/14.tsp,LKH,4,SUCCESS,30.96
data/TSP/cl/14.tsp,LKH-restart,0,SUCCESS,22.68
data/TSP/cl/14.tsp,LKH-restart,1,SUCCESS,75.68
data/TSP/cl/14.tsp,LKH-restart,2,SUCCESS,23.86
data/TSP/cl/14.tsp,LKH-restart,3,SUCCESS,21.98
