name,Phirea_time,UBC_cheap_time,UBC_time
data/TSP/RUE/301.tsp,0.03,0.03,2.59
data/TSP/RUE/302.tsp,0.065,0.13,6.73
data/TSP/RUE/303.tsp,0.079,0.14,10.37
data/TSP/RUE/304.tsp,0.062,0.09,9.22
data/TSP/RUE/305.tsp,0.025,0.02,2.54
data/TSP/RUE/306.tsp,0.077,0.21,11.65
data/TSP/RUE/307.tsp,0.07,0.12,10.65
data/TSP/RUE/308.tsp,0.061,0.1,9.41
data/TSP/RUE/309.tsp,0.084,0.15,15.53
data/TSP/RUE/31.tsp,0.114,0.23,25.46
data/TSP/RUE/310.tsp,0.079,0.25,15.61
data/TSP/RUE/311.tsp,0.036000000000000004,0.05,4.1
data/TSP/RUE/312.tsp,0.034,0.07,3.76
data/TSP/RUE/313.tsp,0.062,0.12,9.23
data/TSP/RUE/314.tsp,0.032,0.03,4.32
data/TSP/RUE/315.tsp,0.066,0.11,8.28
data/TSP/RUE/316.tsp,0.12300000000000001,0.35,33.23
data/TSP/RUE/317.tsp,0.037000000000000005,0.09,6.2
data/TSP/RUE/318.tsp,0.036000000000000004,0.05,4.08
data/TSP/RUE/319.tsp,0.038,0.06,5.96
data/TSP/RUE/32.tsp,0.07200000000000001,0.15,17.04
data/TSP/RUE/320.tsp,0.075,0.19,12.59
data/TSP/RUE/321.tsp,0.111,0.43,53.77
data/TSP/RUE/322.tsp,0.076,0.27,22.98
data/TSP/RUE/323.tsp,0.10400000000000001,0.37,33.88
data/TSP/RUE/324.tsp,0.094,0.25,29.3
data/TSP/RUE/325.tsp,0.057999999999999996,0.13,8.53
data/TSP/RUE/326.tsp,0.034,0.07,4.78
data/TSP/RUE/327.tsp,0.10099999999999999,0.38,21.62
data/TSP/RUE/328.tsp,0.095,0.29,16.72
data/TSP/RUE/329.tsp,0.022000000000000002,0.02,2.36
data/TSP/RUE/33.tsp,0.10099999999999999,0.24,16.66
data/TSP/RUE/330.tsp,0.022000000000000002,0.02,2.22
data/TSP/RUE/331.tsp,0.067,0.16,10.05
data/TSP/RUE/332.tsp,0.109,0.23,28.26
data/TSP/RUE/333.tsp,0.083,0.16,15.99
data/TSP/RUE/334.tsp,0.092,0.17,13.9
data/TSP/RUE/335.tsp,0.078,0.17,8.35
data/TSP/RUE/336.tsp,0.079,0.08,7.1
data/TSP/RUE/337.tsp,0.114,0.38,27.02
data/TSP/RUE/338.tsp,0.07,0.2,10.81
data/TSP/RUE/339.tsp,0.084,0.19,15.67
data/TSP/RUE/34.tsp,0.033,0.05,4.07
data/TSP/RUE/340.tsp,0.032,0.08,4.21
data/TSP/RUE/341.tsp,0.07400000000000001,0.17,9.47
data/TSP/RUE/342.tsp,0.039,0.03,3.4
data/TSP/RUE/343.tsp,0.022000000000000002,0.02,2.08
data/TSP/RUE/344.tsp,0.066,0.17,10.69
data/TSP/RUE/345.tsp,0.034,0.04,4.22
data/TSP/RUE/346.tsp,0.078,0.15,18.75
data/TSP/RUE/347.tsp,0.084,0.15,13.53
data/TSP/RUE/348.tsp,0.086,0.28,16.45
data/TSP/RUE/349.tsp,0.07400000000000001,0.13,10.45
data/TSP/RUE/35.tsp,0.042,0.11,5.24
