ins_name,Phirea_time
data/TSP/RUE/375.tsp,0.056
data/TSP/RUE/376.tsp,0.042
data/TSP/RUE/377.tsp,0.053
data/TSP/RUE/378.tsp,0.112
data/TSP/RUE/379.tsp,0.06
data/TSP/RUE/38.tsp,0.077
data/TSP/RUE/380.tsp,0.035
data/TSP/RUE/381.tsp,0.091
data/TSP/RUE/382.tsp,0.101
data/TSP/RUE/383.tsp,0.085
data/TSP/RUE/384.tsp,0.061
data/TSP/RUE/385.tsp,0.028
data/TSP/RUE/386.tsp,0.069
data/TSP/RUE/387.tsp,0.03
data/TSP/RUE/388.tsp,0.065
data/TSP/RUE/389.tsp,0.138
data/TSP/RUE/39.tsp,0.106
data/TSP/RUE/390.tsp,0.056
data/TSP/RUE/391.tsp,0.096
data/TSP/RUE/392.tsp,0.085
data/TSP/RUE/393.tsp,0.039
data/TSP/RUE/394.tsp,0.117
data/TSP/RUE/395.tsp,0.066
data/TSP/RUE/396.tsp,0.105
data/TSP/RUE/397.tsp,0.098
data/TSP/RUE/398.tsp,0.042
data/TSP/RUE/399.tsp,0.051
data/TSP/RUE/4.tsp,0.097
data/TSP/RUE/40.tsp,0.039
data/TSP/RUE/400.tsp,0.06
data/TSP/RUE/401.tsp,0.066
data/TSP/RUE/402.tsp,0.067
data/TSP/RUE/403.tsp,0.058
data/TSP/RUE/404.tsp,0.071
data/TSP/RUE/405.tsp,0.069
data/TSP/RUE/406.tsp,0.057
data/TSP/RUE/407.tsp,0.032
data/TSP/RUE/408.tsp,0.067
data/TSP/RUE/409.tsp,0.087
data/TSP/RUE/41.tsp,0.067
data/TSP/RUE/410.tsp,0.086
data/TSP/RUE/411.tsp,0.089
data/TSP/RUE/412.tsp,0.073
data/TSP/RUE/413.tsp,0.112
data/TSP/RUE/414.tsp,0.02
data/TSP/RUE/415.tsp,0.066
data/TSP/RUE/416.tsp,0.095
data/TSP/RUE/417.tsp,0.06
data/TSP/RUE/418.tsp,0.087
data/TSP/RUE/419.tsp,0.088
data/TSP/RUE/42.tsp,0.07
data/TSP/RUE/420.tsp,0.061
data/TSP/RUE/421.tsp,0.054
data/TSP/RUE/422.tsp,0.073
data/TSP/RUE/423.tsp,0.095
data/TSP/RUE/424.tsp,0.049
data/TSP/RUE/425.tsp,0.077
data/TSP/RUE/426.tsp,0.099
data/TSP/RUE/427.tsp,0.022
data/TSP/RUE/428.tsp,0.097
data/TSP/RUE/429.tsp,0.083
data/TSP/RUE/43.tsp,0.05
data/TSP/RUE/430.tsp,0.027
data/TSP/RUE/431.tsp,0.111
data/TSP/RUE/432.tsp,0.078
data/TSP/RUE/433.tsp,0.021
data/TSP/RUE/434.tsp,0.04
data/TSP/RUE/435.tsp,0.034
data/TSP/RUE/436.tsp,0.067
data/TSP/RUE/437.tsp,0.03
data/TSP/RUE/438.tsp,0.099
data/TSP/RUE/439.tsp,0.044
